"","churned","CreationDatePeriods","Company_Number","total_products","total_transactions","total_revenue","total_usage","total_accounts"
"7857","No","2005 - 2009",345288,1,43,40063.36,398059,1
"7858","No","2000 - 2004",345377,1,34,724.74,16611,1
"7859","No","2000 - 2004",345391,2,41,3380.77,23348,10
"7860","No","2000 - 2004",345396,1,53,5173.7,13396,1
"7861","No","2000 - 2004",345397,1,21,427.57,819,1
"7862","No","2000 - 2004",345400,1,19,1214.38,8446,1
"7863","No","2000 - 2004",345404,2,104,10229.67,28004,1
"7864","No","2000 - 2004",345407,2,93,32688.43,97184,1
"7865","No","2000 - 2004",345408,1,90,7883.28,16179,7
"7866","No","2000 - 2004",345413,1,68,2751.84,13700,1
"7867","No","2000 - 2004",345414,2,87,30485.6,1021780,1
"7868","No","2005 - 2009",345421,1,29,458.54,3813,1
"7869","No","2005 - 2009",345450,1,34,4753.03,78490,1
"7870","No","2005 - 2009",345454,1,21,246.6,695,1
"7871","No","2005 - 2009",345455,1,38,1723.56,4347,1
"7872","No","2005 - 2009",345457,1,3,42.81,2,1
"7873","Yes","2005 - 2009",345462,1,50,1860.23,37924,1
"7874","No","2005 - 2009",345466,1,32,4541.05,43522,1
"7875","No","2005 - 2009",345483,1,34,2655.15,17701,1
"7876","No","2005 - 2009",345484,1,53,4904.17,65907,3
"7877","No","2005 - 2009",345488,3,34,5473.54,58364,1
"7878","No","2005 - 2009",345494,1,6,3.33,85,1
"7879","No","2005 - 2009",345497,1,2,11.64,97,1
"7880","No","2005 - 2009",345504,1,23,1854.93,13525,1
"7881","No","2005 - 2009",345509,1,39,590.66,5452,1
"7882","No","2005 - 2009",345510,1,10,85.61,1006,1
"7883","No","2005 - 2009",345511,1,12,161.34,1232,1
"7884","No","2005 - 2009",345512,1,44,2166.76,21417,1
"7885","No","2005 - 2009",345517,1,70,4843.51,59999,1
"7886","No","2005 - 2009",345518,1,4,16.97,173,1
"7887","No","2005 - 2009",345519,1,32,926.52,6618,1
"7888","No","2005 - 2009",345525,1,7,195.3,1302,1
"7889","No","2005 - 2009",345534,1,49,1114.04,18061,1
"7890","No","2005 - 2009",345538,1,34,828.4,20710,1
"7891","No","2005 - 2009",345540,1,32,420.77,4727,1
"7892","No","2000 - 2004",345603,3,63,18324.1,20799,1
"7893","No","2000 - 2004",345615,1,14,1504.14,4417,1
"7894","No","2000 - 2004",345616,1,4,-4.26,0,1
"7895","No","2000 - 2004",345624,1,23,130.12,225,1
"7896","No","2000 - 2004",345649,1,36,654.31,17592,1
"7897","No","2005 - 2009",345674,1,56,1483.44,15225,1
"7898","No","2005 - 2009",345677,1,72,5501.07,55140,1
"7899","No","2005 - 2009",345686,1,9,173.75,715,1
"7900","No","2005 - 2009",345697,1,10,150.9,1291,1
"7901","No","2005 - 2009",345707,1,22,1228.44,2375,1
"7902","No","2005 - 2009",345727,2,17,541.63,2117,1
